threshold,TN,FP,FN,TP,precision,recall,f1,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k
0.75,1207,414,133,87,0.17365269461077845,0.39545454545454545,0.24133148404993068,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.8,1229,392,165,55,0.12304250559284116,0.25,0.16491754122938532,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.85,1239,382,174,46,0.10747663551401869,0.20909090909090908,0.14197530864197533,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.9,1258,363,202,18,0.047244094488188976,0.08181818181818182,0.05990016638935108,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.3,1598,433,59,146,0.25215889464594127,0.7121951219512195,0.3724489795918367,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.35,1619,412,69,136,0.24817518248175183,0.6634146341463415,0.3612217795484728,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.4,1634,397,102,103,0.206,0.5024390243902439,0.2921985815602837,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.45,1648,383,109,96,0.20041753653444677,0.4682926829268293,0.28070175438596495,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.5,1652,379,113,92,0.19532908704883228,0.44878048780487806,0.27218934911242604,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.55,1654,377,123,82,0.1786492374727669,0.4,0.2469879518072289,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.6,1661,370,135,70,0.1590909090909091,0.34146341463414637,0.21705426356589147,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.65,1661,370,139,66,0.15137614678899083,0.32195121951219513,0.2059282371294852,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.7,1661,370,152,53,0.12529550827423167,0.25853658536585367,0.16878980891719747,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.75,1664,367,156,49,0.11778846153846154,0.23902439024390243,0.1578099838969404,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.8,1668,363,166,39,0.09701492537313433,0.1902439024390244,0.12850082372322902,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.85,1673,358,175,30,0.07731958762886598,0.14634146341463414,0.10118043844856661,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.9,1697,334,186,19,0.053824362606232294,0.09268292682926829,0.06810035842293906,"commons-exec,elastic-job-lite,handlebars.java,hbase,hector,httpcore",2236,http-request,0.3,6
0.3,10671,38,78,37,0.49333333333333335,0.3217391304347826,0.3894736842105263,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.35,10678,31,80,35,0.5303030303030303,0.30434782608695654,0.3867403314917127,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.4,10682,27,80,35,0.5645161290322581,0.30434782608695654,0.39548022598870064,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.45,10686,23,81,34,0.5964912280701754,0.2956521739130435,0.39534883720930236,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.5,10690,19,81,34,0.6415094339622641,0.2956521739130435,0.4047619047619048,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.55,10691,18,81,34,0.6538461538461539,0.2956521739130435,0.407185628742515,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.6,10693,16,81,34,0.68,0.2956521739130435,0.41212121212121217,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.65,10697,12,82,33,0.7333333333333333,0.28695652173913044,0.4125,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.7,10698,11,82,33,0.75,0.28695652173913044,0.4150943396226415,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.75,10700,9,84,31,0.775,0.26956521739130435,0.39999999999999997,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.8,10701,8,86,29,0.7837837837837838,0.25217391304347825,0.3815789473684211,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.85,10702,7,91,24,0.7741935483870968,0.20869565217391303,0.32876712328767116,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.9,10704,5,91,24,0.8275862068965517,0.20869565217391303,0.3333333333333333,"achilles,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",10824,activiti,0.7,6
0.3,3271,69,12,53,0.4344262295081967,0.8153846153846154,0.5668449197860962,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.35,3292,48,12,53,0.5247524752475248,0.8153846153846154,0.6385542168674698,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.4,3305,35,12,53,0.6022727272727273,0.8153846153846154,0.6928104575163399,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.45,3305,35,14,51,0.5930232558139535,0.7846153846153846,0.675496688741722,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.5,3305,35,16,49,0.5833333333333334,0.7538461538461538,0.6577181208053692,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.55,3315,25,17,48,0.6575342465753424,0.7384615384615385,0.6956521739130435,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.6,3316,24,17,48,0.6666666666666666,0.7384615384615385,0.7007299270072994,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.65,3319,21,17,48,0.6956521739130435,0.7384615384615385,0.7164179104477613,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.7,3321,19,17,48,0.7164179104477612,0.7384615384615385,0.7272727272727273,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.75,3321,19,17,48,0.7164179104477612,0.7384615384615385,0.7272727272727273,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.8,3322,18,19,46,0.71875,0.7076923076923077,0.7131782945736435,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.85,3325,15,20,45,0.75,0.6923076923076923,0.7199999999999999,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.9,3327,13,33,32,0.7111111111111111,0.49230769230769234,0.5818181818181818,"commons-exec,elastic-job-lite,handlebars.java,http-request,incubator-dubbo,java-websocket",3405,httpcore,0.75,6
0.3,1491,231,134,81,0.25961538461538464,0.3767441860465116,0.30740037950664134,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.35,1535,187,141,74,0.2835249042145594,0.34418604651162793,0.31092436974789917,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.4,1574,148,144,71,0.3242009132420091,0.3302325581395349,0.32718894009216587,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.45,1607,115,144,71,0.3817204301075269,0.3302325581395349,0.35411471321695764,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.5,1626,96,150,65,0.40372670807453415,0.3023255813953488,0.3457446808510638,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.55,1641,81,154,61,0.4295774647887324,0.2837209302325581,0.3417366946778711,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.6,1656,66,157,58,0.46774193548387094,0.26976744186046514,0.3421828908554573,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.65,1666,56,165,50,0.4716981132075472,0.23255813953488372,0.31152647975077885,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.7,1677,45,169,46,0.5054945054945055,0.21395348837209302,0.3006535947712418,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.75,1681,41,180,35,0.4605263157894737,0.16279069767441862,0.24054982817869416,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.8,1706,16,190,25,0.6097560975609756,0.11627906976744186,0.1953125,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.85,1710,12,193,22,0.6470588235294118,0.10232558139534884,0.17670682730923692,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.9,1719,3,201,14,0.8235294117647058,0.06511627906976744,0.1206896551724138,"hbase,hector,logback,ninja,orbit,undertow",1937,okhttp,0.45,6
0.3,11353,53,112,31,0.36904761904761907,0.21678321678321677,0.27312775330396477,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.35,11360,46,112,31,0.4025974025974026,0.21678321678321677,0.2818181818181818,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.4,11366,40,112,31,0.43661971830985913,0.21678321678321677,0.2897196261682243,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.45,11367,39,112,31,0.44285714285714284,0.21678321678321677,0.29107981220657275,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.5,11372,34,113,30,0.46875,0.2097902097902098,0.28985507246376807,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.55,11378,28,113,30,0.5172413793103449,0.2097902097902098,0.2985074626865672,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.6,11386,20,113,30,0.6,0.2097902097902098,0.31088082901554404,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.65,11390,16,113,30,0.6521739130434783,0.2097902097902098,0.31746031746031744,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.7,11392,14,113,30,0.6818181818181818,0.2097902097902098,0.320855614973262,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.75,11395,11,113,30,0.7317073170731707,0.2097902097902098,0.32608695652173914,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.8,11396,10,113,30,0.75,0.2097902097902098,0.32786885245901637,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.85,11399,7,113,30,0.8108108108108109,0.2097902097902098,0.33333333333333337,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.9,11403,3,122,21,0.875,0.14685314685314685,0.25149700598802394,"activiti,ambari,assertj-core,httpcore,incubator-dubbo,java-websocket",11549,achilles,0.85,6
0.3,3867,41,20,44,0.5176470588235295,0.6875,0.5906040268456376,"commons-exec,elastic-job-lite,handlebars.java,http-request,httpcore,incubator-dubbo",3972,java-websocket,0.85,6
